StationID,Name,Intervals,Year Start,Year End,Province
1309,100 MILE HOUSE 6NE,"['Daily', 'Monthly']",1987,2023,BC
559,108 MILE HOUSE ABEL LAKE,"['Daily', 'Monthly']",1987,2020,BC
54238,ABBOTSFORD A,"['Hourly', 'Daily']",2016,2024,BC
50308,ABBOTSFORD A,"['Hourly', 'Daily']",2011,2024,BC
374,ADDENBROKE ISLAND,"['Hourly', 'Daily', 'Monthly']",1994,2001,BC
707,AGASSIZ CDA,"['Daily', 'Monthly']",1889,2023,BC
706,AGASSIZ RCS,"['Hourly', 'Daily', 'Monthly']",1994,2024,BC
225,ALBERNI ROBERTSON CREEK,"['Daily', 'Monthly']",1961,2024,BC
48708,ASHCROFT,"['Hourly', 'Daily']",2010,2024,BC
1485,ATLIN,"['Daily', 'Monthly']",1899,2021,BC
138,BALLENAS ISLAND,"['Hourly', 'Daily', 'Monthly']",1994,2024,BC
568,BARKERVILLE,"['Daily', 'Monthly']",1888,2024,BC
1167,BAYNES LAKE KOOTENAY RIVER,"['Daily', 'Monthly']",1986,2017,BC
49388,BELLA BELLA,"['Hourly', 'Daily']",2011,2024,BC
51419,BELLA COOLA A,['Hourly'],2013,2024,BC
52978,BELLA COOLA A,"['Hourly', 'Daily']",2014,2024,BC
381,BELLA COOLA A,"['Hourly', 'Daily', 'Monthly']",1983,2013,BC
54338,BELLA COOLA AIRPORT,"['Hourly', 'Daily']",2015,2024,BC
1100,BILLINGS,"['Daily', 'Monthly']",1984,2024,BC
45507,BLACK CREEK SE,"['Daily', 'Monthly']",2006,2016,BC
45787,BLACKCOMB BASE SLIDING CENTER,"['Hourly', 'Daily']",2007,2018,BC
53424,BLUE RIVER A,"['Hourly', 'Daily']",2015,2024,BC
53423,BLUE RIVER A,['Hourly'],2015,2024,BC
1237,BLUE RIVER A,"['Hourly', 'Daily', 'Monthly']",1969,2015,BC
8214,BLUE RIVER CS,"['Hourly', 'Daily', 'Monthly']",1993,2024,BC
383,BOAT BLUFF,"['Hourly', 'Daily', 'Monthly']",1994,2001,BC
384,BONILLA ISLAND,"['Hourly', 'Daily', 'Monthly']",1994,2001,BC
8265,BONILLA ISLAND (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2024,BC
295,BOWEN ISLAND BOWEN BAY,"['Daily', 'Monthly']",1966,2014,BC
6816,BOWEN ISLAND SUNSET PARK,"['Daily', 'Monthly']",1992,2024,BC
1243,BUFFALO LAKE,"['Daily', 'Monthly']",1962,2016,BC
731,BURNABY SIMON FRASER U,"['Daily', 'Monthly']",1965,2022,BC
574,BURNS LAKE DECKER LAKE,"['Hourly', 'Daily', 'Monthly']",1990,2024,BC
43500,CALLAGHAN VALLEY,"['Hourly', 'Daily', 'Monthly']",2005,2024,BC
52979,CAMPBELL RIVER A,"['Hourly', 'Daily']",2014,2024,BC
51317,CAMPBELL RIVER A,['Hourly'],2013,2024,BC
145,CAMPBELL RIVER A,"['Hourly', 'Daily', 'Monthly']",1979,2013,BC
150,CAMPBELL RIVER SURFSIDE,"['Daily', 'Monthly']",1981,2015,BC
235,CAPE BEALE LIGHT,"['Daily', 'Monthly']",1984,2024,BC
152,CAPE MUDGE,"['Hourly', 'Daily', 'Monthly']",1994,2001,BC
237,CAPE SCOTT,"['Hourly', 'Daily', 'Monthly']",1966,2001,BC
10901,CAPE ST JAMES,"['Hourly', 'Daily', 'Monthly']",1993,2024,BC
1355,CARIBOO LODGE,"['Daily', 'Monthly']",1975,2016,BC
239,CARMANAH POINT,"['Daily', 'Monthly']",1968,2020,BC
5017,CASTLE ROCK 6 NORTH,"['Daily', 'Monthly']",1991,2014,BC
1105,CASTLEGAR A,"['Hourly', 'Daily', 'Monthly']",1954,2013,BC
52938,CASTLEGAR A,"['Hourly', 'Daily']",2014,2024,BC
51458,CASTLEGAR A,['Hourly'],2013,2024,BC
1106,CASTLEGAR BCHPA DAM,"['Daily', 'Monthly']",1969,2024,BC
8264,CATHEDRAL POINT (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2024,BC
1398,CHARLIE LAKE,"['Daily', 'Monthly']",1988,2017,BC
153,CHATHAM POINT,"['Hourly', 'Daily', 'Monthly']",1994,2001,BC
26,CHEMAINUS,"['Daily', 'Monthly']",1919,2024,BC
1400,CHETWYND A,"['Hourly', 'Daily', 'Monthly']",1982,2014,BC
51420,CHETWYND A,['Hourly'],2014,2024,BC
52939,CHETWYND A,"['Hourly', 'Daily']",2014,2024,BC
735,CHILLIWACK,"['Daily', 'Monthly']",1879,2014,BC
716,CHILLIWACK R HATCHERY,"['Daily', 'Monthly']",1961,2016,BC
51978,CHILLIWACK SOUTH,['Daily'],2023,2024,BC
51678,CHROME ISLAND,['Daily'],2013,2020,BC
52398,CLEARWATER AUTO,"['Hourly', 'Daily']",2014,2024,BC
1255,CLINTON (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2018,BC
51558,CLINTON A,"['Hourly', 'Daily']",2013,2024,BC
53638,CLINTON RCS,"['Hourly', 'Daily']",2015,2024,BC
747,CLOVERDALE EAST,"['Daily', 'Monthly']",1964,2024,BC
155,COMOX A,"['Hourly', 'Daily', 'Monthly']",1953,2024,BC
242,CONUMA RIVER HATCHERY,"['Daily', 'Monthly']",1989,2018,BC
750,COQUITLAM COMO LAKE AVE,"['Daily', 'Monthly']",1972,2016,BC
160,CORTES ISLAND TIBER BAY,"['Daily', 'Monthly']",1960,2019,BC
161,COURTENAY GRANTHAM,"['Daily', 'Monthly']",1960,2024,BC
162,COURTENAY PUNTLEDGE,"['Daily', 'Monthly']",1984,2024,BC
37,COWICHAN LAKE FORESTRY,"['Daily', 'Monthly']",1949,2018,BC
50818,CRANBROOK A,"['Hourly', 'Daily']",2012,2024,BC
50957,CRANBROOK A - HWOS CLIMATE,['Daily'],2012,2014,BC
51818,CRANBROOK AIRPORT AUTO,"['Hourly', 'Daily']",2013,2024,BC
26989,CRESCENT SPUR,"['Daily', 'Monthly']",1994,2016,BC
1111,CRESTON,"['Daily', 'Monthly']",1912,2017,BC
6838,CRESTON CAMPBELL SCIENTIFIC,"['Hourly', 'Daily', 'Monthly']",1994,2024,BC
1256,CRISS CREEK,"['Daily', 'Monthly']",1988,2020,BC
50368,CULTUS LAKE,"['Hourly', 'Daily']",2012,2024,BC
6822,CUMSHEWA ISLAND,"['Hourly', 'Daily', 'Monthly']",1994,2024,BC
1257,DARFIELD,"['Daily', 'Monthly']",1956,2018,BC
48208,DAWSON CREEK A,"['Hourly', 'Daily']",2009,2024,BC
6845,DEASE LAKE (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2024,BC
49628,DEASE LAKE A,"['Hourly', 'Daily']",2011,2024,BC
49088,DELTA BURNS BOG,"['Hourly', 'Daily']",2010,2024,BC
766,DELTA TSAWWASSEN BEACH,"['Daily', 'Monthly']",1971,2024,BC
27226,DISCOVERY ISLAND,"['Hourly', 'Daily', 'Monthly']",1997,2024,BC
387,DRYAD POINT,"['Hourly', 'Daily', 'Monthly']",1994,2001,BC
46,DUNCAN KELVIN CREEK,"['Daily', 'Monthly']",1987,2016,BC
1115,DUNCAN LAKE DAM,"['Daily', 'Monthly']",1963,2024,BC
389,EGG ISLAND,"['Hourly', 'Daily', 'Monthly']",1969,2001,BC
132,ENTRANCE ISLAND,"['Daily', 'Monthly']",1987,2024,BC
29411,ENTRANCE ISLAND,"['Hourly', 'Daily', 'Monthly']",1994,2024,BC
461,EQUITY SILVER,"['Daily', 'Monthly']",1981,2021,BC
52,ESQUIMALT HARBOUR,"['Hourly', 'Daily', 'Monthly']",1994,2024,BC
244,ESTEVAN POINT,"['Hourly', 'Daily', 'Monthly']",1953,1979,BC
8040,ESTEVAN POINT CS,"['Hourly', 'Daily', 'Monthly']",1994,2024,BC
29733,FANNY ISLAND,"['Hourly', 'Daily', 'Monthly']",2000,2024,BC
1117,FAUQUIER,"['Daily', 'Monthly']",1913,2017,BC
1180,FERNIE,"['Daily', 'Monthly']",1913,2024,BC
1184,FORDING RIVER COMINCO,"['Daily', 'Monthly']",1970,2017,BC
43723,FORT LANGLEY TELEGRAPH TRAIL,"['Daily', 'Monthly']",2005,2024,BC
54098,FORT NELSON,"['Hourly', 'Daily']",2015,2024,BC
50819,FORT NELSON A,"['Hourly', 'Daily']",2012,2024,BC
8248,FORT NELSON UA,"['Daily', 'Monthly']",1999,2017,BC
588,FORT ST JAMES,"['Daily', 'Monthly']",1895,2019,BC
51538,FORT ST JAMES AUTO,"['Hourly', 'Daily']",2013,2024,BC
55363,FORT ST JAMES GOLF CLUB,"['Hourly', 'Daily']",2022,2024,BC
55198,FORT ST JOHN AIRPORT,"['Hourly', 'Daily']",2021,2024,BC
50997,FORT ST JOHN- HWOS CLIMATE,['Daily'],2012,2014,BC
50837,FORT ST. JOHN A,"['Hourly', 'Daily']",2012,2024,BC
1186,FT STEELE DANDY CRK,"['Daily', 'Monthly']",1968,2024,BC
172,GABRIOLA ISLAND,"['Daily', 'Monthly']",1967,2017,BC
55,GALIANO NORTH,"['Daily', 'Monthly']",1975,2021,BC
57,GANGES MANSELL RD,"['Daily', 'Monthly']",1974,2014,BC
309,GIBSONS GOWER POINT,"['Daily', 'Monthly']",1961,2024,BC
1345,GLACIER NP MT FIDELITY,"['Daily', 'Monthly']",1969,2024,BC
1363,GLACIER NP ROGERS PASS,"['Daily', 'Monthly']",1965,2024,BC
246,GOLD RIVER TOWNSITE,"['Daily', 'Monthly']",1966,2016,BC
52439,GOLDEN A,['Hourly'],2014,2024,BC
52980,GOLDEN A,"['Hourly', 'Daily']",2014,2024,BC
1364,GOLDEN A,"['Hourly', 'Daily', 'Monthly']",1991,2014,BC
54318,GOLDEN AIRPORT,"['Hourly', 'Daily']",2015,2024,BC
1365,GOLDSTREAM RIVER,"['Daily', 'Monthly']",1982,2018,BC
50579,GRAND FORKS HARDY MTN,['Daily'],2012,2015,BC
393,GREEN ISLAND,"['Hourly', 'Daily', 'Monthly']",1970,2001,BC
8258,GREY ISLET (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2024,BC
27449,GRIEF POINT,"['Hourly', 'Daily']",1997,2024,BC
776,HANEY UBC RF ADMIN,"['Daily', 'Monthly']",1961,2024,BC
46027,HEDLEY N,['Daily'],2007,2017,BC
996,HEDLEY NP MINE,"['Daily', 'Monthly']",1904,2015,BC
8259,HERBERT ISLAND (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2024,BC
173,HERIOT BAY SE,"['Daily', 'Monthly']",1984,2022,BC
592,HIXON,"['Daily', 'Monthly']",1970,2024,BC
6823,HOLLAND ROCK,"['Hourly', 'Daily', 'Monthly']",1994,2024,BC
49588,HOPE A,"['Hourly', 'Daily']",2011,2024,BC
50517,HOPE AIRPORT,"['Hourly', 'Daily']",2012,2024,BC
951,HOPE SLIDE,"['Hourly', 'Daily', 'Monthly']",1969,2014,BC
52160,HOPE SLIDE A,['Hourly'],2014,2024,BC
596,HORSEFLY LAKE GRUHS LAKE,"['Daily', 'Monthly']",1950,2016,BC
470,HOUSTON,"['Daily', 'Monthly']",1957,2024,BC
6817,HOWE SOUND - PAM ROCKS,"['Hourly', 'Daily', 'Monthly']",1994,2024,BC
395,IVORY ISLAND,"['Hourly', 'Daily', 'Monthly']",1994,2001,BC
27122,JELLICOE,"['Daily', 'Monthly']",1995,2024,BC
51423,KAMLOOPS A,"['Hourly', 'Daily']",2013,2024,BC
42203,KAMLOOPS AUT,"['Hourly', 'Daily', 'Monthly']",2006,2024,BC
1216,KAMLOOPS PRATT ROAD,"['Daily', 'Monthly']",1986,2024,BC
1124,KASLO,"['Daily', 'Monthly']",1894,2018,BC
48369,KELOWNA,"['Hourly', 'Daily']",2009,2024,BC
10976,KELOWNA MWS0,"['Daily', 'Monthly']",1994,2017,BC
26932,KELOWNA QUAILS GATE,"['Daily', 'Monthly']",1995,2014,BC
51117,KELOWNA UBCO,"['Hourly', 'Daily']",2012,2024,BC
10853,KELP REEFS,"['Hourly', 'Daily']",1997,2024,BC
396,KEMANO,"['Daily', 'Monthly']",1951,2024,BC
1194,KIMBERLEY PCC,"['Daily', 'Monthly']",1975,2024,BC
8062,KINDAKUN ROCKS (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2024,BC
403,KITIMAT 2,"['Daily', 'Monthly']",1966,2023,BC
54978,KITIMAT FOREST AVE,"['Hourly', 'Daily']",2020,2024,BC
27121,KITIMAT HATCHERY,"['Daily', 'Monthly']",1995,2024,BC
402,KITIMAT TOWNSITE,"['Daily', 'Monthly']",1954,2022,BC
1199,KOOTENAY NP WEST GATE,"['Daily', 'Monthly']",1968,2022,BC
794,LAIDLAW,"['Daily', 'Monthly']",1977,2017,BC
40,LAKE COWICHAN,"['Daily', 'Monthly']",1960,2024,BC
358,LANGARA,"['Hourly', 'Daily', 'Monthly']",1954,2001,BC
6819,LANGARA ISLAND RCS,"['Hourly', 'Daily', 'Monthly']",1994,2024,BC
55460,LANGLEY REGIONAL,"['Hourly', 'Daily']",2023,2024,BC
257,LENNARD ISLAND,"['Daily', 'Monthly']",1980,2024,BC
27388,LILLOOET,"['Hourly', 'Daily', 'Monthly']",1997,2024,BC
1130,LISTER,"['Daily', 'Monthly']",1956,2024,BC
181,LITTLE QUALICUM HATCHERY,"['Daily', 'Monthly']",1981,2023,BC
6824,LUCY ISLAND LIGHTSTATION,"['Hourly', 'Daily', 'Monthly']",1994,2024,BC
966,LYTTON 2,"['Daily', 'Monthly']",1917,2015,BC
51598,LYTTON A,"['Hourly', 'Daily']",2013,2024,BC
44927,LYTTON RCS,"['Hourly', 'Daily', 'Monthly']",2006,2024,BC
48870,MACKENZIE,"['Hourly', 'Daily']",2010,2024,BC
1423,MACKENZIE A,"['Hourly', 'Daily', 'Monthly']",1971,2015,BC
51517,MACKENZIE AIRPORT AUTO,"['Hourly', 'Daily']",2013,2024,BC
65,MALAHAT,"['Hourly', 'Daily', 'Monthly']",1994,2024,BC
53278,MAPLE RIDGE FERGUSON AVENUE,['Daily'],2015,2015,BC
787,MAPLE RIDGE KANAKA CREEK,"['Daily', 'Monthly']",1986,2018,BC
361,MASSET A,"['Daily', 'Monthly']",1944,2016,BC
52339,MASSET A,['Hourly'],2014,2024,BC
52940,MASSET A,"['Hourly', 'Daily']",2014,2024,BC
